,Indicator,Group,Subgroup,Time Period Start Date,Value,Risk
0,Symptoms of Depressive Disorder,National Estimate,United States,04/23/2020,23.5,Mild
1,Symptoms of Depressive Disorder,By Age,18 - 29 years,04/23/2020,32.7,High
2,Symptoms of Depressive Disorder,By Age,30 - 39 years,04/23/2020,25.7,Moderate
3,Symptoms of Depressive Disorder,By Age,40 - 49 years,04/23/2020,24.8,Moderate
4,Symptoms of Depressive Disorder,By Age,50 - 59 years,04/23/2020,23.2,Mild
5,Symptoms of Depressive Disorder,By Age,60 - 69 years,04/23/2020,18.4,Mild
6,Symptoms of Depressive Disorder,By Age,70 - 79 years,04/23/2020,13.6,Mild
7,Symptoms of Depressive Disorder,By Age,80 years and above,04/23/2020,14.4,Mild
8,Symptoms of Depressive Disorder,By Sex,Male,04/23/2020,20.8,Mild
9,Symptoms of Depressive Disorder,By Sex,Female,04/23/2020,26.1,Moderate
10,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,04/23/2020,29.4,Moderate
11,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",04/23/2020,21.4,Mild
12,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",04/23/2020,25.6,Moderate
13,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",04/23/2020,23.6,Mild
14,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",04/23/2020,28.3,Moderate
15,Symptoms of Depressive Disorder,By Education,Less than a high school diploma,04/23/2020,32.7,High
16,Symptoms of Depressive Disorder,By Education,High school diploma or GED,04/23/2020,25.4,Moderate
17,Symptoms of Depressive Disorder,By Education,Some college/Associate's degree,04/23/2020,25.6,Moderate
18,Symptoms of Depressive Disorder,By Education,Bachelor's degree or higher,04/23/2020,17.6,Mild
19,Symptoms of Depressive Disorder,By State,Alabama,04/23/2020,18.6,Mild
20,Symptoms of Depressive Disorder,By State,Alaska,04/23/2020,19.2,Mild
21,Symptoms of Depressive Disorder,By State,Arizona,04/23/2020,22.4,Mild
22,Symptoms of Depressive Disorder,By State,Arkansas,04/23/2020,26.6,Moderate
23,Symptoms of Depressive Disorder,By State,California,04/23/2020,25.4,Moderate
24,Symptoms of Depressive Disorder,By State,Colorado,04/23/2020,22.0,Mild
25,Symptoms of Depressive Disorder,By State,Connecticut,04/23/2020,24.4,Mild
26,Symptoms of Depressive Disorder,By State,Delaware,04/23/2020,21.1,Mild
27,Symptoms of Depressive Disorder,By State,District of Columbia,04/23/2020,26.4,Moderate
