,Indicator,Group,Subgroup,Time_Period,Value,Risk
1,Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-04-23,32.7,Moderate
2,Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-04-23,25.7,Mild
3,Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-04-23,24.8,Mild
4,Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-04-23,23.2,Mild
5,Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-04-23,18.4,Mild
6,Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-04-23,13.6,Mild
7,Symptoms of Depressive Disorder,By Age,80 years and above,2020-04-23,14.4,Mild
8,Symptoms of Depressive Disorder,By Sex,Male,2020-04-23,20.8,Mild
9,Symptoms of Depressive Disorder,By Sex,Female,2020-04-23,26.1,Mild
10,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic or Latino,2020-04-23,29.4,Mild
11,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-04-23,21.4,Mild
12,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-04-23,25.6,Mild
13,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-04-23,23.6,Mild
14,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-04-23,28.3,Mild
15,Symptoms of Depressive Disorder,By Education,Less than a high school diploma,2020-04-23,32.7,Moderate
16,Symptoms of Depressive Disorder,By Education,High school diploma or GED,2020-04-23,25.4,Mild
17,Symptoms of Depressive Disorder,By Education,Some college/Associate's degree,2020-04-23,25.6,Mild
18,Symptoms of Depressive Disorder,By Education,Bachelor's degree or higher,2020-04-23,17.6,Mild
19,Symptoms of Depressive Disorder,By State,Alabama,2020-04-23,18.6,Mild
20,Symptoms of Depressive Disorder,By State,Alaska,2020-04-23,19.2,Mild
21,Symptoms of Depressive Disorder,By State,Arizona,2020-04-23,22.4,Mild
22,Symptoms of Depressive Disorder,By State,Arkansas,2020-04-23,26.6,Mild
23,Symptoms of Depressive Disorder,By State,California,2020-04-23,25.4,Mild
24,Symptoms of Depressive Disorder,By State,Colorado,2020-04-23,22.0,Mild
25,Symptoms of Depressive Disorder,By State,Connecticut,2020-04-23,24.4,Mild
26,Symptoms of Depressive Disorder,By State,Delaware,2020-04-23,21.1,Mild
27,Symptoms of Depressive Disorder,By State,District of Columbia,2020-04-23,26.4,Mild
28,Symptoms of Depressive Disorder,By State,Florida,2020-04-23,22.5,Mild
29,Symptoms of Depressive Disorder,By State,Georgia,2020-04-23,25.6,Mild
30,Symptoms of Depressive Disorder,By State,Hawaii,2020-04-23,20.0,Mild
31,Symptoms of Depressive Disorder,By State,Idaho,2020-04-23,20.6,Mild
32,Symptoms of Depressive Disorder,By State,Illinois,2020-04-23,23.3,Mild
33,Symptoms of Depressive Disorder,By State,Indiana,2020-04-23,26.4,Mild
34,Symptoms of Depressive Disorder,By State,Iowa,2020-04-23,16.5,Mild
35,Symptoms of Depressive Disorder,By State,Kansas,2020-04-23,22.1,Mild
