Mental_indicator,Group_name,Subgroup,Time_Period,Percentage,Risk
Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-04-23,32.7,High
Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-04-23,25.7,Moderate
Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-04-23,24.8,Moderate
Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-04-23,23.2,Mild
Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-04-23,18.4,Mild
Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-04-23,13.6,Mild
Symptoms of Depressive Disorder,By Age,80 years and above,2020-04-23,14.4,Mild
Symptoms of Anxiety Disorder,By Age,18 - 29 years,2020-04-23,40.2,Extreme
Symptoms of Anxiety Disorder,By Age,30 - 39 years,2020-04-23,34.4,High
Symptoms of Anxiety Disorder,By Age,40 - 49 years,2020-04-23,34.1,High
Symptoms of Anxiety Disorder,By Age,50 - 59 years,2020-04-23,31.0,High
Symptoms of Anxiety Disorder,By Age,60 - 69 years,2020-04-23,24.9,Moderate
Symptoms of Anxiety Disorder,By Age,70 - 79 years,2020-04-23,16.4,Mild
Symptoms of Anxiety Disorder,By Age,80 years and above,2020-04-23,14.6,Mild
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2020-04-23,46.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2020-04-23,39.6,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2020-04-23,38.9,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2020-04-23,35.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2020-04-23,28.9,Moderate
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2020-04-23,21.5,Mild
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2020-04-23,21.1,Mild
Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-05-07,36.2,Extreme
Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-05-07,27.7,Moderate
Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-05-07,25.5,Moderate
Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-05-07,24.1,Mild
Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-05-07,17.6,Mild
Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-05-07,12.2,Mild
Symptoms of Depressive Disorder,By Age,80 years and above,2020-05-07,9.1,Mild
Symptoms of Anxiety Disorder,By Age,18 - 29 years,2020-05-07,42.0,Extreme
