Mental_indicator,Group_name,Subgroup,Time_Period,Percentage,Risk
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-04-23,29.4,Moderate
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-04-23,21.4,Mild
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-04-23,25.6,Moderate
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-04-23,23.6,Mild
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-04-23,28.3,Moderate
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-04-23,36.3,Extreme
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-04-23,29.0,Moderate
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-04-23,32.8,High
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-04-23,26.3,Moderate
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-04-23,38.2,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-04-23,42.7,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-04-23,33.6,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-04-23,38.9,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-04-23,31.9,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-04-23,43.9,Extreme
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-05-07,27.9,Moderate
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-05-07,22.5,Mild
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-05-07,27.7,Moderate
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-05-07,19.5,Mild
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-05-07,33.0,High
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-05-07,36.2,Extreme
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-05-07,27.8,Moderate
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-05-07,33.0,High
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-05-07,26.3,Moderate
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-05-07,38.9,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-05-07,40.3,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-05-07,32.0,High
