Mental_indicator,Group_name,Subgroup,Time_Period,Percentage,Risk
Symptoms of Depressive Disorder,By Sex,0,2020-04-23,20.8,Mild
Symptoms of Depressive Disorder,By Sex,1,2020-04-23,26.1,Moderate
Symptoms of Anxiety Disorder,By Sex,0,2020-04-23,26.1,Moderate
Symptoms of Anxiety Disorder,By Sex,1,2020-04-23,35.4,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2020-04-23,31.0,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2020-04-23,40.7,Extreme
Symptoms of Depressive Disorder,By Sex,0,2020-05-07,22.3,Mild
Symptoms of Depressive Disorder,By Sex,1,2020-05-07,25.8,Moderate
Symptoms of Anxiety Disorder,By Sex,0,2020-05-07,26.7,Moderate
Symptoms of Anxiety Disorder,By Sex,1,2020-05-07,33.1,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2020-05-07,31.4,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2020-05-07,37.2,Extreme
Symptoms of Depressive Disorder,By Sex,0,2020-05-14,22.1,Mild
Symptoms of Depressive Disorder,By Sex,1,2020-05-14,26.7,Moderate
Symptoms of Anxiety Disorder,By Sex,0,2020-05-14,24.2,Mild
Symptoms of Anxiety Disorder,By Sex,1,2020-05-14,32.1,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2020-05-14,29.9,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2020-05-14,37.6,Extreme
Symptoms of Depressive Disorder,By Sex,0,2020-05-21,22.7,Mild
Symptoms of Depressive Disorder,By Sex,1,2020-05-21,26.9,Moderate
Symptoms of Anxiety Disorder,By Sex,0,2020-05-21,25.4,Moderate
Symptoms of Anxiety Disorder,By Sex,1,2020-05-21,33.2,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2020-05-21,30.3,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2020-05-21,38.1,Extreme
Symptoms of Depressive Disorder,By Sex,0,2020-05-28,23.0,Mild
Symptoms of Depressive Disorder,By Sex,1,2020-05-28,27.4,Moderate
Symptoms of Anxiety Disorder,By Sex,0,2020-05-28,26.0,Moderate
Symptoms of Anxiety Disorder,By Sex,1,2020-05-28,35.0,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2020-05-28,31.1,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2020-05-28,39.6,Extreme
Symptoms of Depressive Disorder,By Sex,0,2020-06-04,23.7,Mild
Symptoms of Depressive Disorder,By Sex,1,2020-06-04,27.8,Moderate
Symptoms of Anxiety Disorder,By Sex,0,2020-06-04,26.8,Moderate
Symptoms of Anxiety Disorder,By Sex,1,2020-06-04,35.1,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2020-06-04,31.9,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2020-06-04,40.0,Extreme
Symptoms of Depressive Disorder,By Sex,0,2020-06-11,23.3,Mild
Symptoms of Depressive Disorder,By Sex,1,2020-06-11,26.7,Moderate
Symptoms of Anxiety Disorder,By Sex,0,2020-06-11,28.1,Moderate
Symptoms of Anxiety Disorder,By Sex,1,2020-06-11,35.0,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2020-06-11,32.7,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2020-06-11,39.1,Extreme
Symptoms of Depressive Disorder,By Sex,0,2020-06-18,23.8,Mild
Symptoms of Depressive Disorder,By Sex,1,2020-06-18,27.3,Moderate
Symptoms of Anxiety Disorder,By Sex,0,2020-06-18,27.4,Moderate
Symptoms of Anxiety Disorder,By Sex,1,2020-06-18,34.8,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2020-06-18,32.4,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2020-06-18,39.6,Extreme
Symptoms of Depressive Disorder,By Sex,0,2020-06-25,25.0,Moderate
Symptoms of Depressive Disorder,By Sex,1,2020-06-25,28.8,Moderate
Symptoms of Anxiety Disorder,By Sex,0,2020-06-25,29.0,Moderate
Symptoms of Anxiety Disorder,By Sex,1,2020-06-25,36.7,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2020-06-25,33.8,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2020-06-25,41.5,Extreme
Symptoms of Depressive Disorder,By Sex,0,2020-07-02,26.6,Moderate
Symptoms of Depressive Disorder,By Sex,1,2020-07-02,28.6,Moderate
Symptoms of Anxiety Disorder,By Sex,0,2020-07-02,30.7,High
Symptoms of Anxiety Disorder,By Sex,1,2020-07-02,37.0,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2020-07-02,36.5,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2020-07-02,41.3,Extreme
Symptoms of Depressive Disorder,By Sex,0,2020-07-09,26.0,Moderate
Symptoms of Depressive Disorder,By Sex,1,2020-07-09,30.0,High
Symptoms of Anxiety Disorder,By Sex,0,2020-07-09,31.5,High
Symptoms of Anxiety Disorder,By Sex,1,2020-07-09,39.4,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2020-07-09,36.1,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2020-07-09,44.2,Extreme
Symptoms of Depressive Disorder,By Sex,0,2020-07-16,27.8,Moderate
Symptoms of Depressive Disorder,By Sex,1,2020-07-16,31.3,High
Symptoms of Anxiety Disorder,By Sex,0,2020-07-16,32.1,High
Symptoms of Anxiety Disorder,By Sex,1,2020-07-16,39.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2020-07-16,37.0,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2020-07-16,44.6,Extreme
Symptoms of Depressive Disorder,By Sex,0,2020-08-19,22.5,Mild
Symptoms of Depressive Disorder,By Sex,1,2020-08-19,26.4,Moderate
Symptoms of Anxiety Disorder,By Sex,0,2020-08-19,26.4,Moderate
Symptoms of Anxiety Disorder,By Sex,1,2020-08-19,36.1,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2020-08-19,31.8,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2020-08-19,40.7,Extreme
Symptoms of Depressive Disorder,By Sex,0,2020-09-02,22.8,Mild
