,Indicator,Group,State,Subgroup,Time Period Start Date,Value,year
4486,Symptoms of Depressive Disorder,National Estimate,United States,United States,2021-01-06,28.4,2021
4487,Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,2021-01-06,41.1,2021
4488,Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,2021-01-06,31.9,2021
4489,Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,2021-01-06,29.1,2021
4490,Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,2021-01-06,27.1,2021
4491,Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,2021-01-06,22.3,2021
4492,Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,2021-01-06,18.7,2021
4493,Symptoms of Depressive Disorder,By Age,United States,80 years and above,2021-01-06,18.4,2021
4494,Symptoms of Depressive Disorder,By Sex,United States,Male,2021-01-06,25.9,2021
4495,Symptoms of Depressive Disorder,By Sex,United States,Female,2021-01-06,30.6,2021
4496,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2021-01-06,29.6,2021
4497,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2021-01-06,27.4,2021
4498,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2021-01-06,31.2,2021
4499,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2021-01-06,23.6,2021
4500,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2021-01-06,37.2,2021
4501,Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,2021-01-06,35.2,2021
4502,Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,2021-01-06,30.5,2021
4503,Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,2021-01-06,32.4,2021
4504,Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,2021-01-06,21.1,2021
4505,Symptoms of Depressive Disorder,By State,Alabama,Alabama,2021-01-06,29.3,2021
4506,Symptoms of Depressive Disorder,By State,Alaska,Alaska,2021-01-06,28.4,2021
4507,Symptoms of Depressive Disorder,By State,Arizona,Arizona,2021-01-06,26.9,2021
4508,Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,2021-01-06,28.8,2021
4509,Symptoms of Depressive Disorder,By State,California,California,2021-01-06,31.3,2021
4510,Symptoms of Depressive Disorder,By State,Colorado,Colorado,2021-01-06,29.1,2021
4511,Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,2021-01-06,24.3,2021
4512,Symptoms of Depressive Disorder,By State,Delaware,Delaware,2021-01-06,25.8,2021
4513,Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,2021-01-06,23.0,2021
4514,Symptoms of Depressive Disorder,By State,Florida,Florida,2021-01-06,26.0,2021
4515,Symptoms of Depressive Disorder,By State,Georgia,Georgia,2021-01-06,28.8,2021
4516,Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,2021-01-06,28.2,2021
4517,Symptoms of Depressive Disorder,By State,Idaho,Idaho,2021-01-06,27.5,2021
4518,Symptoms of Depressive Disorder,By State,Illinois,Illinois,2021-01-06,26.5,2021
4519,Symptoms of Depressive Disorder,By State,Indiana,Indiana,2021-01-06,26.4,2021
4520,Symptoms of Depressive Disorder,By State,Iowa,Iowa,2021-01-06,28.0,2021
4521,Symptoms of Depressive Disorder,By State,Kansas,Kansas,2021-01-06,25.5,2021
4522,Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,2021-01-06,29.6,2021
4523,Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,2021-01-06,30.4,2021
4524,Symptoms of Depressive Disorder,By State,Maine,Maine,2021-01-06,22.2,2021
4525,Symptoms of Depressive Disorder,By State,Maryland,Maryland,2021-01-06,27.4,2021
4526,Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,2021-01-06,24.2,2021
4527,Symptoms of Depressive Disorder,By State,Michigan,Michigan,2021-01-06,30.2,2021
4528,Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,2021-01-06,21.5,2021
4529,Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,2021-01-06,37.5,2021
4530,Symptoms of Depressive Disorder,By State,Missouri,Missouri,2021-01-06,31.9,2021
4531,Symptoms of Depressive Disorder,By State,Montana,Montana,2021-01-06,23.7,2021
4532,Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,2021-01-06,26.1,2021
4533,Symptoms of Depressive Disorder,By State,Nevada,Nevada,2021-01-06,30.8,2021
4534,Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,2021-01-06,25.4,2021
4535,Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,2021-01-06,27.3,2021
4536,Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,2021-01-06,27.4,2021
4537,Symptoms of Depressive Disorder,By State,New York,New York,2021-01-06,25.0,2021
4538,Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,2021-01-06,31.1,2021
4539,Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,2021-01-06,26.7,2021
