Group_name,Subgroup,Time_Period,Risk
National Estimate,United States,2021-01-06,Moderate
By Age,18 - 29 years,2021-01-06,Extreme
By Age,30 - 39 years,2021-01-06,High
By Age,40 - 49 years,2021-01-06,Moderate
By Age,50 - 59 years,2021-01-06,Moderate
By Age,60 - 69 years,2021-01-06,Mild
By Age,70 - 79 years,2021-01-06,Mild
By Age,80 years and above,2021-01-06,Mild
By Sex,Male,2021-01-06,Moderate
By Sex,Female,2021-01-06,High
By Race/Hispanic ethnicity,Hispanic or Latino,2021-01-06,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-01-06,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-01-06,High
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-01-06,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-01-06,Extreme
By Education,Less than a high school diploma,2021-01-06,Extreme
By Education,High school diploma or GED,2021-01-06,High
By Education,Some college/Associate's degree,2021-01-06,High
By Education,Bachelor's degree or higher,2021-01-06,Mild
By State,Alabama,2021-01-06,Moderate
By State,Alaska,2021-01-06,Moderate
By State,Arizona,2021-01-06,Moderate
By State,Arkansas,2021-01-06,Moderate
By State,California,2021-01-06,High
By State,Colorado,2021-01-06,Moderate
By State,Connecticut,2021-01-06,Mild
By State,Delaware,2021-01-06,Moderate
By State,District of Columbia,2021-01-06,Mild
By State,Florida,2021-01-06,Moderate
By State,Georgia,2021-01-06,Moderate
By State,Hawaii,2021-01-06,Moderate
By State,Idaho,2021-01-06,Moderate
By State,Illinois,2021-01-06,Moderate
By State,Indiana,2021-01-06,Moderate
By State,Iowa,2021-01-06,Moderate
By State,Kansas,2021-01-06,Moderate
By State,Kentucky,2021-01-06,Moderate
By State,Louisiana,2021-01-06,High
By State,Maine,2021-01-06,Mild
By State,Maryland,2021-01-06,Moderate
By State,Massachusetts,2021-01-06,Mild
By State,Michigan,2021-01-06,High
By State,Minnesota,2021-01-06,Mild
By State,Mississippi,2021-01-06,Extreme
By State,Missouri,2021-01-06,High
By State,Montana,2021-01-06,Mild
By State,Nebraska,2021-01-06,Moderate
By State,Nevada,2021-01-06,High
By State,New Hampshire,2021-01-06,Moderate
By State,New Jersey,2021-01-06,Moderate
By State,New Mexico,2021-01-06,Moderate
By State,New York,2021-01-06,Moderate
By State,North Carolina,2021-01-06,High
By State,North Dakota,2021-01-06,Moderate
By State,Ohio,2021-01-06,High
By State,Oklahoma,2021-01-06,Moderate
By State,Oregon,2021-01-06,High
By State,Pennsylvania,2021-01-06,High
By State,Rhode Island,2021-01-06,High
By State,South Carolina,2021-01-06,Moderate
By State,South Dakota,2021-01-06,Moderate
By State,Tennessee,2021-01-06,Moderate
By State,Texas,2021-01-06,Moderate
By State,Utah,2021-01-06,Moderate
By State,Vermont,2021-01-06,Mild
By State,Virginia,2021-01-06,Moderate
By State,Washington,2021-01-06,High
By State,West Virginia,2021-01-06,Extreme
By State,Wisconsin,2021-01-06,Mild
By State,Wyoming,2021-01-06,Moderate
National Estimate,United States,2021-01-20,Moderate
By Age,18 - 29 years,2021-01-20,Extreme
By Age,30 - 39 years,2021-01-20,High
By Age,40 - 49 years,2021-01-20,Moderate
By Age,50 - 59 years,2021-01-20,Moderate
By Age,60 - 69 years,2021-01-20,Mild
By Age,70 - 79 years,2021-01-20,Mild
By Age,80 years and above,2021-01-20,Mild
By Sex,Male,2021-01-20,Moderate
By Sex,Female,2021-01-20,High
By Race/Hispanic ethnicity,Hispanic or Latino,2021-01-20,High
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-01-20,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-01-20,High
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-01-20,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-01-20,High
By Education,Less than a high school diploma,2021-01-20,Extreme
By Education,High school diploma or GED,2021-01-20,Moderate
By Education,Some college/Associate's degree,2021-01-20,High
By Education,Bachelor's degree or higher,2021-01-20,Mild
By State,Alabama,2021-01-20,High
By State,Alaska,2021-01-20,High
By State,Arizona,2021-01-20,High
By State,Arkansas,2021-01-20,Moderate
By State,California,2021-01-20,High
By State,Colorado,2021-01-20,Moderate
By State,Connecticut,2021-01-20,Moderate
By State,Delaware,2021-01-20,Mild
By State,District of Columbia,2021-01-20,Mild
By State,Florida,2021-01-20,Moderate
By State,Georgia,2021-01-20,High
By State,Hawaii,2021-01-20,Moderate
By State,Idaho,2021-01-20,Moderate
By State,Illinois,2021-01-20,Moderate
By State,Indiana,2021-01-20,Moderate
By State,Iowa,2021-01-20,Moderate
By State,Kansas,2021-01-20,Mild
By State,Kentucky,2021-01-20,High
By State,Louisiana,2021-01-20,High
By State,Maine,2021-01-20,Mild
By State,Maryland,2021-01-20,Moderate
By State,Massachusetts,2021-01-20,Moderate
By State,Michigan,2021-01-20,High
By State,Minnesota,2021-01-20,Mild
By State,Mississippi,2021-01-20,Moderate
By State,Missouri,2021-01-20,Moderate
By State,Montana,2021-01-20,Moderate
By State,Nebraska,2021-01-20,Mild
By State,Nevada,2021-01-20,High
By State,New Hampshire,2021-01-20,Moderate
By State,New Jersey,2021-01-20,Moderate
By State,New Mexico,2021-01-20,High
By State,New York,2021-01-20,Moderate
By State,North Carolina,2021-01-20,High
By State,North Dakota,2021-01-20,Mild
By State,Ohio,2021-01-20,Moderate
By State,Oklahoma,2021-01-20,High
By State,Oregon,2021-01-20,Moderate
By State,Pennsylvania,2021-01-20,Moderate
By State,Rhode Island,2021-01-20,High
By State,South Carolina,2021-01-20,Mild
By State,South Dakota,2021-01-20,Mild
By State,Tennessee,2021-01-20,High
By State,Texas,2021-01-20,High
By State,Utah,2021-01-20,Moderate
By State,Vermont,2021-01-20,Mild
By State,Virginia,2021-01-20,Mild
By State,Washington,2021-01-20,High
By State,West Virginia,2021-01-20,High
By State,Wisconsin,2021-01-20,Moderate
By State,Wyoming,2021-01-20,Moderate
National Estimate,United States,2021-02-03,Moderate
By Age,18 - 29 years,2021-02-03,Extreme
By Age,30 - 39 years,2021-02-03,High
By Age,40 - 49 years,2021-02-03,Moderate
By Age,50 - 59 years,2021-02-03,Moderate
By Age,60 - 69 years,2021-02-03,Mild
By Age,70 - 79 years,2021-02-03,Mild
By Age,80 years and above,2021-02-03,Mild
By Sex,Male,2021-02-03,Moderate
By Sex,Female,2021-02-03,High
By Race/Hispanic ethnicity,Hispanic or Latino,2021-02-03,High
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-02-03,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-02-03,High
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-02-03,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-02-03,High
By Education,Less than a high school diploma,2021-02-03,Extreme
By Education,High school diploma or GED,2021-02-03,High
By Education,Some college/Associate's degree,2021-02-03,High
By Education,Bachelor's degree or higher,2021-02-03,Mild
By State,Alabama,2021-02-03,High
By State,Alaska,2021-02-03,High
By State,Arizona,2021-02-03,High
By State,Arkansas,2021-02-03,High
By State,California,2021-02-03,High
By State,Colorado,2021-02-03,Mild
By State,Connecticut,2021-02-03,Moderate
By State,Delaware,2021-02-03,Moderate
By State,District of Columbia,2021-02-03,Mild
By State,Florida,2021-02-03,Moderate
By State,Georgia,2021-02-03,Moderate
By State,Hawaii,2021-02-03,Mild
By State,Idaho,2021-02-03,Moderate
By State,Illinois,2021-02-03,Moderate
By State,Indiana,2021-02-03,Moderate
By State,Iowa,2021-02-03,Moderate
By State,Kansas,2021-02-03,Moderate
By State,Kentucky,2021-02-03,Moderate
By State,Louisiana,2021-02-03,High
By State,Maine,2021-02-03,Mild
By State,Maryland,2021-02-03,Moderate
By State,Massachusetts,2021-02-03,Moderate
By State,Michigan,2021-02-03,Moderate
By State,Minnesota,2021-02-03,Mild
By State,Mississippi,2021-02-03,High
By State,Missouri,2021-02-03,Moderate
By State,Montana,2021-02-03,Mild
By State,Nebraska,2021-02-03,Moderate
By State,Nevada,2021-02-03,High
By State,New Hampshire,2021-02-03,Mild
By State,New Jersey,2021-02-03,Mild
By State,New Mexico,2021-02-03,High
By State,New York,2021-02-03,High
By State,North Carolina,2021-02-03,Moderate
By State,North Dakota,2021-02-03,Mild
By State,Ohio,2021-02-03,Moderate
By State,Oklahoma,2021-02-03,Moderate
By State,Oregon,2021-02-03,High
By State,Pennsylvania,2021-02-03,Moderate
By State,Rhode Island,2021-02-03,Moderate
By State,South Carolina,2021-02-03,Moderate
By State,South Dakota,2021-02-03,Mild
By State,Tennessee,2021-02-03,High
By State,Texas,2021-02-03,Moderate
By State,Utah,2021-02-03,Moderate
By State,Vermont,2021-02-03,Moderate
By State,Virginia,2021-02-03,Moderate
By State,Washington,2021-02-03,Moderate
By State,West Virginia,2021-02-03,High
By State,Wisconsin,2021-02-03,Moderate
By State,Wyoming,2021-02-03,Mild
National Estimate,United States,2021-02-17,Moderate
By Age,18 - 29 years,2021-02-17,Extreme
By Age,30 - 39 years,2021-02-17,High
By Age,40 - 49 years,2021-02-17,Moderate
By Age,50 - 59 years,2021-02-17,Moderate
By Age,60 - 69 years,2021-02-17,Mild
By Age,70 - 79 years,2021-02-17,Mild
By Age,80 years and above,2021-02-17,Mild
By Sex,Male,2021-02-17,Moderate
By Sex,Female,2021-02-17,Moderate
By Race/Hispanic ethnicity,Hispanic or Latino,2021-02-17,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-02-17,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-02-17,High
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-02-17,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-02-17,High
By Education,Less than a high school diploma,2021-02-17,High
By Education,High school diploma or GED,2021-02-17,High
By Education,Some college/Associate's degree,2021-02-17,High
By Education,Bachelor's degree or higher,2021-02-17,Mild
By State,Alabama,2021-02-17,Moderate
By State,Alaska,2021-02-17,Mild
By State,Arizona,2021-02-17,Moderate
By State,Arkansas,2021-02-17,Moderate
