Group_name,Subgroup,Time_Period,Risk
National Estimate,United States,2021-01-06,Extreme
By Age,18 - 29 years,2021-01-06,Extreme
By Age,30 - 39 years,2021-01-06,Extreme
By Age,40 - 49 years,2021-01-06,Extreme
By Age,50 - 59 years,2021-01-06,Extreme
By Age,60 - 69 years,2021-01-06,High
By Age,70 - 79 years,2021-01-06,Moderate
By Age,80 years and above,2021-01-06,Moderate
By Sex,Male,2021-01-06,Extreme
By Sex,Female,2021-01-06,Extreme
By Race/Hispanic ethnicity,Hispanic or Latino,2021-01-06,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-01-06,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-01-06,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-01-06,High
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-01-06,Extreme
By Education,Less than a high school diploma,2021-01-06,Extreme
By Education,High school diploma or GED,2021-01-06,Extreme
By Education,Some college/Associate's degree,2021-01-06,Extreme
By Education,Bachelor's degree or higher,2021-01-06,Extreme
By State,Alabama,2021-01-06,Extreme
By State,Alaska,2021-01-06,Extreme
By State,Arizona,2021-01-06,Extreme
By State,Arkansas,2021-01-06,Extreme
By State,California,2021-01-06,Extreme
By State,Colorado,2021-01-06,Extreme
By State,Connecticut,2021-01-06,Extreme
By State,Delaware,2021-01-06,Extreme
By State,District of Columbia,2021-01-06,Extreme
By State,Florida,2021-01-06,Extreme
By State,Georgia,2021-01-06,Extreme
By State,Hawaii,2021-01-06,Extreme
By State,Idaho,2021-01-06,Extreme
By State,Illinois,2021-01-06,Extreme
By State,Indiana,2021-01-06,Extreme
By State,Iowa,2021-01-06,Extreme
By State,Kansas,2021-01-06,Extreme
By State,Kentucky,2021-01-06,Extreme
By State,Louisiana,2021-01-06,Extreme
By State,Maine,2021-01-06,Extreme
By State,Maryland,2021-01-06,Extreme
By State,Massachusetts,2021-01-06,Extreme
By State,Michigan,2021-01-06,Extreme
By State,Minnesota,2021-01-06,High
By State,Mississippi,2021-01-06,Extreme
By State,Missouri,2021-01-06,Extreme
By State,Montana,2021-01-06,Extreme
By State,Nebraska,2021-01-06,Extreme
By State,Nevada,2021-01-06,Extreme
By State,New Hampshire,2021-01-06,Extreme
By State,New Jersey,2021-01-06,Extreme
By State,New Mexico,2021-01-06,Extreme
By State,New York,2021-01-06,Extreme
By State,North Carolina,2021-01-06,Extreme
By State,North Dakota,2021-01-06,Extreme
By State,Ohio,2021-01-06,Extreme
By State,Oklahoma,2021-01-06,Extreme
By State,Oregon,2021-01-06,Extreme
By State,Pennsylvania,2021-01-06,Extreme
By State,Rhode Island,2021-01-06,Extreme
By State,South Carolina,2021-01-06,Extreme
By State,South Dakota,2021-01-06,High
By State,Tennessee,2021-01-06,Extreme
By State,Texas,2021-01-06,Extreme
By State,Utah,2021-01-06,Extreme
By State,Vermont,2021-01-06,Extreme
By State,Virginia,2021-01-06,Extreme
By State,Washington,2021-01-06,Extreme
By State,West Virginia,2021-01-06,Extreme
By State,Wisconsin,2021-01-06,High
By State,Wyoming,2021-01-06,Extreme
National Estimate,United States,2021-01-20,Extreme
By Age,18 - 29 years,2021-01-20,Extreme
By Age,30 - 39 years,2021-01-20,Extreme
By Age,40 - 49 years,2021-01-20,Extreme
By Age,50 - 59 years,2021-01-20,Extreme
By Age,60 - 69 years,2021-01-20,High
By Age,70 - 79 years,2021-01-20,Moderate
By Age,80 years and above,2021-01-20,Mild
By Sex,Male,2021-01-20,Extreme
By Sex,Female,2021-01-20,Extreme
By Race/Hispanic ethnicity,Hispanic or Latino,2021-01-20,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-01-20,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-01-20,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-01-20,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-01-20,Extreme
By Education,Less than a high school diploma,2021-01-20,Extreme
By Education,High school diploma or GED,2021-01-20,Extreme
By Education,Some college/Associate's degree,2021-01-20,Extreme
By Education,Bachelor's degree or higher,2021-01-20,Extreme
By State,Alabama,2021-01-20,Extreme
By State,Alaska,2021-01-20,Extreme
By State,Arizona,2021-01-20,Extreme
By State,Arkansas,2021-01-20,Extreme
By State,California,2021-01-20,Extreme
By State,Colorado,2021-01-20,Extreme
By State,Connecticut,2021-01-20,Extreme
By State,Delaware,2021-01-20,High
By State,District of Columbia,2021-01-20,Extreme
By State,Florida,2021-01-20,Extreme
By State,Georgia,2021-01-20,Extreme
By State,Hawaii,2021-01-20,Extreme
By State,Idaho,2021-01-20,Extreme
By State,Illinois,2021-01-20,Extreme
By State,Indiana,2021-01-20,Extreme
By State,Iowa,2021-01-20,Extreme
By State,Kansas,2021-01-20,Extreme
By State,Kentucky,2021-01-20,Extreme
By State,Louisiana,2021-01-20,Extreme
By State,Maine,2021-01-20,Extreme
By State,Maryland,2021-01-20,Extreme
By State,Massachusetts,2021-01-20,Extreme
By State,Michigan,2021-01-20,Extreme
By State,Minnesota,2021-01-20,Extreme
By State,Mississippi,2021-01-20,Extreme
By State,Missouri,2021-01-20,Extreme
By State,Montana,2021-01-20,High
By State,Nebraska,2021-01-20,High
By State,Nevada,2021-01-20,Extreme
By State,New Hampshire,2021-01-20,Extreme
By State,New Jersey,2021-01-20,Extreme
By State,New Mexico,2021-01-20,Extreme
By State,New York,2021-01-20,Extreme
By State,North Carolina,2021-01-20,Extreme
By State,North Dakota,2021-01-20,Moderate
By State,Ohio,2021-01-20,Extreme
By State,Oklahoma,2021-01-20,Extreme
By State,Oregon,2021-01-20,Extreme
By State,Pennsylvania,2021-01-20,Extreme
By State,Rhode Island,2021-01-20,Extreme
By State,South Carolina,2021-01-20,Extreme
By State,South Dakota,2021-01-20,Moderate
By State,Tennessee,2021-01-20,Extreme
By State,Texas,2021-01-20,Extreme
By State,Utah,2021-01-20,Extreme
By State,Vermont,2021-01-20,Extreme
By State,Virginia,2021-01-20,Extreme
By State,Washington,2021-01-20,Extreme
By State,West Virginia,2021-01-20,Extreme
By State,Wisconsin,2021-01-20,Extreme
By State,Wyoming,2021-01-20,Extreme
National Estimate,United States,2021-02-03,Extreme
By Age,18 - 29 years,2021-02-03,Extreme
By Age,30 - 39 years,2021-02-03,Extreme
By Age,40 - 49 years,2021-02-03,Extreme
By Age,50 - 59 years,2021-02-03,Extreme
By Age,60 - 69 years,2021-02-03,High
By Age,70 - 79 years,2021-02-03,Mild
By Age,80 years and above,2021-02-03,Mild
By Sex,Male,2021-02-03,Extreme
By Sex,Female,2021-02-03,Extreme
By Race/Hispanic ethnicity,Hispanic or Latino,2021-02-03,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-02-03,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-02-03,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-02-03,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-02-03,Extreme
By Education,Less than a high school diploma,2021-02-03,Extreme
By Education,High school diploma or GED,2021-02-03,Extreme
By Education,Some college/Associate's degree,2021-02-03,Extreme
By Education,Bachelor's degree or higher,2021-02-03,High
By State,Alabama,2021-02-03,Extreme
By State,Alaska,2021-02-03,Extreme
By State,Arizona,2021-02-03,Extreme
By State,Arkansas,2021-02-03,Extreme
By State,California,2021-02-03,Extreme
By State,Colorado,2021-02-03,Extreme
By State,Connecticut,2021-02-03,Extreme
By State,Delaware,2021-02-03,Extreme
By State,District of Columbia,2021-02-03,Extreme
By State,Florida,2021-02-03,Extreme
By State,Georgia,2021-02-03,Extreme
By State,Hawaii,2021-02-03,High
By State,Idaho,2021-02-03,Extreme
By State,Illinois,2021-02-03,Extreme
By State,Indiana,2021-02-03,Extreme
By State,Iowa,2021-02-03,Extreme
By State,Kansas,2021-02-03,High
By State,Kentucky,2021-02-03,Extreme
By State,Louisiana,2021-02-03,Extreme
By State,Maine,2021-02-03,Extreme
By State,Maryland,2021-02-03,Extreme
By State,Massachusetts,2021-02-03,Extreme
By State,Michigan,2021-02-03,Extreme
By State,Minnesota,2021-02-03,High
By State,Mississippi,2021-02-03,Extreme
By State,Missouri,2021-02-03,Extreme
By State,Montana,2021-02-03,High
By State,Nebraska,2021-02-03,Extreme
By State,Nevada,2021-02-03,Extreme
By State,New Hampshire,2021-02-03,High
By State,New Jersey,2021-02-03,Extreme
By State,New Mexico,2021-02-03,Extreme
By State,New York,2021-02-03,Extreme
By State,North Carolina,2021-02-03,Extreme
By State,North Dakota,2021-02-03,Extreme
By State,Ohio,2021-02-03,Extreme
By State,Oklahoma,2021-02-03,Extreme
By State,Oregon,2021-02-03,Extreme
By State,Pennsylvania,2021-02-03,Extreme
By State,Rhode Island,2021-02-03,Extreme
By State,South Carolina,2021-02-03,Extreme
By State,South Dakota,2021-02-03,High
By State,Tennessee,2021-02-03,Extreme
By State,Texas,2021-02-03,Extreme
By State,Utah,2021-02-03,Extreme
By State,Vermont,2021-02-03,Extreme
By State,Virginia,2021-02-03,Extreme
By State,Washington,2021-02-03,Extreme
By State,West Virginia,2021-02-03,Extreme
By State,Wisconsin,2021-02-03,Extreme
By State,Wyoming,2021-02-03,Moderate
National Estimate,United States,2021-02-17,Extreme
By Age,18 - 29 years,2021-02-17,Extreme
By Age,30 - 39 years,2021-02-17,Extreme
By Age,40 - 49 years,2021-02-17,Extreme
By Age,50 - 59 years,2021-02-17,Extreme
By Age,60 - 69 years,2021-02-17,High
By Age,70 - 79 years,2021-02-17,Mild
By Age,80 years and above,2021-02-17,Mild
By Sex,Male,2021-02-17,Extreme
By Sex,Female,2021-02-17,Extreme
By Race/Hispanic ethnicity,Hispanic or Latino,2021-02-17,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-02-17,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-02-17,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-02-17,High
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-02-17,Extreme
By Education,Less than a high school diploma,2021-02-17,Extreme
By Education,High school diploma or GED,2021-02-17,Extreme
By Education,Some college/Associate's degree,2021-02-17,Extreme
By Education,Bachelor's degree or higher,2021-02-17,High
