,Indicator,Group,Subgroup,Time_Period,Value,Risk
4487,Symptoms of Depressive Disorder,By Age,18 - 29 years,2021-01-06,41.1,Extreme
4488,Symptoms of Depressive Disorder,By Age,30 - 39 years,2021-01-06,31.9,High
4489,Symptoms of Depressive Disorder,By Age,40 - 49 years,2021-01-06,29.1,Moderate
4490,Symptoms of Depressive Disorder,By Age,50 - 59 years,2021-01-06,27.1,Moderate
4491,Symptoms of Depressive Disorder,By Age,60 - 69 years,2021-01-06,22.3,Mild
4492,Symptoms of Depressive Disorder,By Age,70 - 79 years,2021-01-06,18.7,Mild
4493,Symptoms of Depressive Disorder,By Age,80 years and above,2021-01-06,18.4,Mild
4576,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2021-01-06,46.3,Extreme
4577,Symptoms of Anxiety Disorder,By Age,30 - 39 years,2021-01-06,40.0,Extreme
4578,Symptoms of Anxiety Disorder,By Age,40 - 49 years,2021-01-06,40.0,Extreme
4579,Symptoms of Anxiety Disorder,By Age,50 - 59 years,2021-01-06,36.0,Extreme
4580,Symptoms of Anxiety Disorder,By Age,60 - 69 years,2021-01-06,29.6,Moderate
4581,Symptoms of Anxiety Disorder,By Age,70 - 79 years,2021-01-06,22.3,Mild
4582,Symptoms of Anxiety Disorder,By Age,80 years and above,2021-01-06,20.3,Mild
4665,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2021-01-06,53.5,Extreme
4666,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2021-01-06,45.8,Extreme
4667,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2021-01-06,43.9,Extreme
4668,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2021-01-06,40.6,Extreme
4669,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2021-01-06,34.1,High
4670,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2021-01-06,27.9,Moderate
4671,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2021-01-06,27.3,Moderate
4735,Symptoms of Depressive Disorder,By Age,18 - 29 years,2021-01-20,43.4,Extreme
4736,Symptoms of Depressive Disorder,By Age,30 - 39 years,2021-01-20,31.6,High
4737,Symptoms of Depressive Disorder,By Age,40 - 49 years,2021-01-20,27.1,Moderate
4738,Symptoms of Depressive Disorder,By Age,50 - 59 years,2021-01-20,28.0,Moderate
4739,Symptoms of Depressive Disorder,By Age,60 - 69 years,2021-01-20,22.4,Mild
4740,Symptoms of Depressive Disorder,By Age,70 - 79 years,2021-01-20,17.7,Mild
4741,Symptoms of Depressive Disorder,By Age,80 years and above,2021-01-20,15.3,Mild
4805,Symptoms of Anxiety Disorder,By Age,18 - 29 years,2021-01-20,48.5,Extreme
