Mental_indicator,Group_name,Subgroup,Time_Period,Percentage,Risk
Symptoms of Depressive Disorder,By Education,Less than a high school diploma,2021-01-06,35.2,Extreme
Symptoms of Depressive Disorder,By Education,High school diploma or GED,2021-01-06,30.5,High
Symptoms of Depressive Disorder,By Education,Some college/Associate's degree,2021-01-06,32.4,High
Symptoms of Depressive Disorder,By Education,Bachelor's degree or higher,2021-01-06,21.1,Mild
Symptoms of Anxiety Disorder,By Education,Less than a high school diploma,2021-01-06,42.9,Extreme
Symptoms of Anxiety Disorder,By Education,High school diploma or GED,2021-01-06,34.7,High
Symptoms of Anxiety Disorder,By Education,Some college/Associate's degree,2021-01-06,38.8,Extreme
Symptoms of Anxiety Disorder,By Education,Bachelor's degree or higher,2021-01-06,32.3,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Less than a high school diploma,2021-01-06,48.2,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,High school diploma or GED,2021-01-06,41.1,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Some college/Associate's degree,2021-01-06,44.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Bachelor's degree or higher,2021-01-06,35.9,Extreme
Symptoms of Depressive Disorder,By Education,Less than a high school diploma,2021-01-20,36.6,Extreme
Symptoms of Depressive Disorder,By Education,High school diploma or GED,2021-01-20,29.7,Moderate
Symptoms of Depressive Disorder,By Education,Some college/Associate's degree,2021-01-20,32.5,High
Symptoms of Depressive Disorder,By Education,Bachelor's degree or higher,2021-01-20,21.5,Mild
Symptoms of Anxiety Disorder,By Education,Less than a high school diploma,2021-01-20,43.2,Extreme
Symptoms of Anxiety Disorder,By Education,High school diploma or GED,2021-01-20,34.9,High
Symptoms of Anxiety Disorder,By Education,Some college/Associate's degree,2021-01-20,40.7,Extreme
Symptoms of Anxiety Disorder,By Education,Bachelor's degree or higher,2021-01-20,31.3,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Less than a high school diploma,2021-01-20,49.6,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,High school diploma or GED,2021-01-20,41.1,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Some college/Associate's degree,2021-01-20,46.4,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Bachelor's degree or higher,2021-01-20,35.5,Extreme
Symptoms of Depressive Disorder,By Education,Less than a high school diploma,2021-02-03,37.0,Extreme
Symptoms of Depressive Disorder,By Education,High school diploma or GED,2021-02-03,30.1,High
Symptoms of Depressive Disorder,By Education,Some college/Associate's degree,2021-02-03,31.0,High
Symptoms of Depressive Disorder,By Education,Bachelor's degree or higher,2021-02-03,21.5,Mild
Symptoms of Anxiety Disorder,By Education,Less than a high school diploma,2021-02-03,39.3,Extreme
