,Indicator,Group,Subgroup,Time_Period,Value,Risk
4494,Symptoms of Depressive Disorder,By Sex,0,2021-01-06,25.9,Moderate
4495,Symptoms of Depressive Disorder,By Sex,1,2021-01-06,30.6,High
4583,Symptoms of Anxiety Disorder,By Sex,0,2021-01-06,30.7,High
4584,Symptoms of Anxiety Disorder,By Sex,1,2021-01-06,40.5,Extreme
4672,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-01-06,36.4,Extreme
4673,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-01-06,45.4,Extreme
4742,Symptoms of Depressive Disorder,By Sex,0,2021-01-20,26.3,Moderate
4743,Symptoms of Depressive Disorder,By Sex,1,2021-01-20,30.4,High
4812,Symptoms of Anxiety Disorder,By Sex,0,2021-01-20,32.4,High
4813,Symptoms of Anxiety Disorder,By Sex,1,2021-01-20,39.5,Extreme
4882,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-01-20,38.0,Extreme
4883,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-01-20,44.8,Extreme
4952,Symptoms of Depressive Disorder,By Sex,0,2021-02-03,26.1,Moderate
4953,Symptoms of Depressive Disorder,By Sex,1,2021-02-03,29.9,High
5022,Symptoms of Anxiety Disorder,By Sex,0,2021-02-03,29.6,Moderate
5023,Symptoms of Anxiety Disorder,By Sex,1,2021-02-03,37.6,Extreme
5092,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-02-03,35.5,Extreme
5093,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-02-03,43.0,Extreme
5162,Symptoms of Depressive Disorder,By Sex,0,2021-02-17,26.7,Moderate
5163,Symptoms of Depressive Disorder,By Sex,1,2021-02-17,28.7,Moderate
5232,Symptoms of Anxiety Disorder,By Sex,0,2021-02-17,29.6,Moderate
5233,Symptoms of Anxiety Disorder,By Sex,1,2021-02-17,36.8,Extreme
5302,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-02-17,35.5,Extreme
5303,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-02-17,42.0,Extreme
5372,Symptoms of Depressive Disorder,By Sex,0,2021-03-03,24.2,Mild
5373,Symptoms of Depressive Disorder,By Sex,1,2021-03-03,28.4,Moderate
5442,Symptoms of Anxiety Disorder,By Sex,0,2021-03-03,27.5,Moderate
5443,Symptoms of Anxiety Disorder,By Sex,1,2021-03-03,35.1,High
5512,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-03-03,33.1,High
5513,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-03-03,40.5,Extreme
5582,Symptoms of Depressive Disorder,By Sex,0,2021-03-17,23.2,Mild
5583,Symptoms of Depressive Disorder,By Sex,1,2021-03-17,26.0,Moderate
5652,Symptoms of Anxiety Disorder,By Sex,0,2021-03-17,26.3,Moderate
5653,Symptoms of Anxiety Disorder,By Sex,1,2021-03-17,33.5,High
5722,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-03-17,31.7,High
