Mental_indicator,Group_name,Subgroup,Time_Period,Percentage,Risk
Symptoms of Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-07-21,31.2,High
Symptoms of Depressive Disorder,By Sexual orientation,Straight,2021-07-21,19.7,Mild
Symptoms of Depressive Disorder,By Sexual orientation,Bisexual,2021-07-21,49.8,Extreme
Symptoms of Anxiety Disorder,By Sexual orientation,Gay or lesbian,2021-07-21,38.4,Extreme
Symptoms of Anxiety Disorder,By Sexual orientation,Straight,2021-07-21,24.3,Mild
Symptoms of Anxiety Disorder,By Sexual orientation,Bisexual,2021-07-21,57.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-07-21,42.6,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Straight,2021-07-21,28.4,Moderate
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Bisexual,2021-07-21,65.4,Extreme
Symptoms of Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-08-04,30.4,High
Symptoms of Depressive Disorder,By Sexual orientation,Straight,2021-08-04,19.1,Mild
Symptoms of Depressive Disorder,By Sexual orientation,Bisexual,2021-08-04,47.4,Extreme
Symptoms of Anxiety Disorder,By Sexual orientation,Gay or lesbian,2021-08-04,37.9,Extreme
Symptoms of Anxiety Disorder,By Sexual orientation,Straight,2021-08-04,24.2,Mild
Symptoms of Anxiety Disorder,By Sexual orientation,Bisexual,2021-08-04,55.2,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-08-04,43.0,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Straight,2021-08-04,28.3,Moderate
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Bisexual,2021-08-04,61.5,Extreme
Symptoms of Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-08-18,38.2,Extreme
Symptoms of Depressive Disorder,By Sexual orientation,Straight,2021-08-18,20.1,Mild
Symptoms of Depressive Disorder,By Sexual orientation,Bisexual,2021-08-18,47.1,Extreme
Symptoms of Anxiety Disorder,By Sexual orientation,Gay or lesbian,2021-08-18,43.0,Extreme
Symptoms of Anxiety Disorder,By Sexual orientation,Straight,2021-08-18,25.3,Moderate
Symptoms of Anxiety Disorder,By Sexual orientation,Bisexual,2021-08-18,51.3,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-08-18,49.6,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Straight,2021-08-18,29.3,Moderate
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Bisexual,2021-08-18,59.7,Extreme
Symptoms of Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-09-01,40.1,Extreme
