Mental_indicator,Group_name,Subgroup,Time_Period,Percentage,Risk
Symptoms of Depressive Disorder,By State,Alabama,2021-01-06,29.3,Moderate
Symptoms of Depressive Disorder,By State,Alaska,2021-01-06,28.4,Moderate
Symptoms of Depressive Disorder,By State,Arizona,2021-01-06,26.9,Moderate
Symptoms of Depressive Disorder,By State,Arkansas,2021-01-06,28.8,Moderate
Symptoms of Depressive Disorder,By State,California,2021-01-06,31.3,High
Symptoms of Depressive Disorder,By State,Colorado,2021-01-06,29.1,Moderate
Symptoms of Depressive Disorder,By State,Connecticut,2021-01-06,24.3,Mild
Symptoms of Depressive Disorder,By State,Delaware,2021-01-06,25.8,Moderate
Symptoms of Depressive Disorder,By State,District of Columbia,2021-01-06,23.0,Mild
Symptoms of Depressive Disorder,By State,Florida,2021-01-06,26.0,Moderate
Symptoms of Depressive Disorder,By State,Georgia,2021-01-06,28.8,Moderate
Symptoms of Depressive Disorder,By State,Hawaii,2021-01-06,28.2,Moderate
Symptoms of Depressive Disorder,By State,Idaho,2021-01-06,27.5,Moderate
Symptoms of Depressive Disorder,By State,Illinois,2021-01-06,26.5,Moderate
Symptoms of Depressive Disorder,By State,Indiana,2021-01-06,26.4,Moderate
Symptoms of Depressive Disorder,By State,Iowa,2021-01-06,28.0,Moderate
Symptoms of Depressive Disorder,By State,Kansas,2021-01-06,25.5,Moderate
Symptoms of Depressive Disorder,By State,Kentucky,2021-01-06,29.6,Moderate
Symptoms of Depressive Disorder,By State,Louisiana,2021-01-06,30.4,High
Symptoms of Depressive Disorder,By State,Maine,2021-01-06,22.2,Mild
Symptoms of Depressive Disorder,By State,Maryland,2021-01-06,27.4,Moderate
Symptoms of Depressive Disorder,By State,Massachusetts,2021-01-06,24.2,Mild
Symptoms of Depressive Disorder,By State,Michigan,2021-01-06,30.2,High
Symptoms of Depressive Disorder,By State,Minnesota,2021-01-06,21.5,Mild
Symptoms of Depressive Disorder,By State,Mississippi,2021-01-06,37.5,Extreme
Symptoms of Depressive Disorder,By State,Missouri,2021-01-06,31.9,High
Symptoms of Depressive Disorder,By State,Montana,2021-01-06,23.7,Mild
Symptoms of Depressive Disorder,By State,Nebraska,2021-01-06,26.1,Moderate
Symptoms of Depressive Disorder,By State,Nevada,2021-01-06,30.8,High
Symptoms of Depressive Disorder,By State,New Hampshire,2021-01-06,25.4,Moderate
Symptoms of Depressive Disorder,By State,New Jersey,2021-01-06,27.3,Moderate
Symptoms of Depressive Disorder,By State,New Mexico,2021-01-06,27.4,Moderate
Symptoms of Depressive Disorder,By State,New York,2021-01-06,25.0,Moderate
Symptoms of Depressive Disorder,By State,North Carolina,2021-01-06,31.1,High
Symptoms of Depressive Disorder,By State,North Dakota,2021-01-06,26.7,Moderate
Symptoms of Depressive Disorder,By State,Ohio,2021-01-06,31.1,High
Symptoms of Depressive Disorder,By State,Oklahoma,2021-01-06,29.7,Moderate
Symptoms of Depressive Disorder,By State,Oregon,2021-01-06,30.1,High
Symptoms of Depressive Disorder,By State,Pennsylvania,2021-01-06,30.4,High
Symptoms of Depressive Disorder,By State,Rhode Island,2021-01-06,34.9,High
Symptoms of Depressive Disorder,By State,South Carolina,2021-01-06,29.2,Moderate
Symptoms of Depressive Disorder,By State,South Dakota,2021-01-06,26.2,Moderate
Symptoms of Depressive Disorder,By State,Tennessee,2021-01-06,29.4,Moderate
Symptoms of Depressive Disorder,By State,Texas,2021-01-06,27.6,Moderate
Symptoms of Depressive Disorder,By State,Utah,2021-01-06,29.5,Moderate
Symptoms of Depressive Disorder,By State,Vermont,2021-01-06,22.0,Mild
Symptoms of Depressive Disorder,By State,Virginia,2021-01-06,28.6,Moderate
Symptoms of Depressive Disorder,By State,Washington,2021-01-06,30.1,High
Symptoms of Depressive Disorder,By State,West Virginia,2021-01-06,38.5,Extreme
Symptoms of Depressive Disorder,By State,Wisconsin,2021-01-06,21.3,Mild
Symptoms of Depressive Disorder,By State,Wyoming,2021-01-06,26.2,Moderate
Symptoms of Anxiety Disorder,By State,Alabama,2021-01-06,36.8,Extreme
Symptoms of Anxiety Disorder,By State,Alaska,2021-01-06,36.2,Extreme
Symptoms of Anxiety Disorder,By State,Arizona,2021-01-06,33.5,High
Symptoms of Anxiety Disorder,By State,Arkansas,2021-01-06,37.6,Extreme
Symptoms of Anxiety Disorder,By State,California,2021-01-06,39.9,Extreme
Symptoms of Anxiety Disorder,By State,Colorado,2021-01-06,36.6,Extreme
Symptoms of Anxiety Disorder,By State,Connecticut,2021-01-06,35.3,Extreme
Symptoms of Anxiety Disorder,By State,Delaware,2021-01-06,34.7,High
Symptoms of Anxiety Disorder,By State,District of Columbia,2021-01-06,34.4,High
Symptoms of Anxiety Disorder,By State,Florida,2021-01-06,33.7,High
Symptoms of Anxiety Disorder,By State,Georgia,2021-01-06,37.3,Extreme
Symptoms of Anxiety Disorder,By State,Hawaii,2021-01-06,34.4,High
Symptoms of Anxiety Disorder,By State,Idaho,2021-01-06,34.0,High
Symptoms of Anxiety Disorder,By State,Illinois,2021-01-06,35.6,Extreme
Symptoms of Anxiety Disorder,By State,Indiana,2021-01-06,32.8,High
Symptoms of Anxiety Disorder,By State,Iowa,2021-01-06,31.1,High
Symptoms of Anxiety Disorder,By State,Kansas,2021-01-06,33.9,High
Symptoms of Anxiety Disorder,By State,Kentucky,2021-01-06,35.8,Extreme
Symptoms of Anxiety Disorder,By State,Louisiana,2021-01-06,38.4,Extreme
Symptoms of Anxiety Disorder,By State,Maine,2021-01-06,34.8,High
Symptoms of Anxiety Disorder,By State,Maryland,2021-01-06,32.9,High
Symptoms of Anxiety Disorder,By State,Massachusetts,2021-01-06,34.9,High
Symptoms of Anxiety Disorder,By State,Michigan,2021-01-06,38.6,Extreme
Symptoms of Anxiety Disorder,By State,Minnesota,2021-01-06,30.8,High
Symptoms of Anxiety Disorder,By State,Mississippi,2021-01-06,49.2,Extreme
Symptoms of Anxiety Disorder,By State,Missouri,2021-01-06,36.4,Extreme
Symptoms of Anxiety Disorder,By State,Montana,2021-01-06,32.3,High
Symptoms of Anxiety Disorder,By State,Nebraska,2021-01-06,31.7,High
