Mental_indicator,Group_name,Subgroup,Time_Period,Percentage,Risk,year
Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-04-23,32.7,High,2020
Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-04-23,25.7,Moderate,2020
Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-04-23,24.8,Moderate,2020
Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-04-23,23.2,Mild,2020
Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-04-23,18.4,Mild,2020
Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-04-23,13.6,Mild,2020
Symptoms of Depressive Disorder,By Age,80 years and above,2020-04-23,14.4,Mild,2020
Symptoms of Anxiety Disorder,By Age,18 - 29 years,2020-04-23,40.2,Extreme,2020
Symptoms of Anxiety Disorder,By Age,30 - 39 years,2020-04-23,34.4,High,2020
Symptoms of Anxiety Disorder,By Age,40 - 49 years,2020-04-23,34.1,High,2020
Symptoms of Anxiety Disorder,By Age,50 - 59 years,2020-04-23,31.0,High,2020
Symptoms of Anxiety Disorder,By Age,60 - 69 years,2020-04-23,24.9,Moderate,2020
Symptoms of Anxiety Disorder,By Age,70 - 79 years,2020-04-23,16.4,Mild,2020
Symptoms of Anxiety Disorder,By Age,80 years and above,2020-04-23,14.6,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2020-04-23,46.8,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2020-04-23,39.6,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2020-04-23,38.9,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2020-04-23,35.8,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2020-04-23,28.9,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2020-04-23,21.5,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2020-04-23,21.1,Mild,2020
Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-05-07,36.2,Extreme,2020
Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-05-07,27.7,Moderate,2020
Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-05-07,25.5,Moderate,2020
Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-05-07,24.1,Mild,2020
Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-05-07,17.6,Mild,2020
Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-05-07,12.2,Mild,2020
Symptoms of Depressive Disorder,By Age,80 years and above,2020-05-07,9.1,Mild,2020
Symptoms of Anxiety Disorder,By Age,18 - 29 years,2020-05-07,42.0,Extreme,2020
Symptoms of Anxiety Disorder,By Age,30 - 39 years,2020-05-07,34.3,High,2020
Symptoms of Anxiety Disorder,By Age,40 - 49 years,2020-05-07,31.9,High,2020
Symptoms of Anxiety Disorder,By Age,50 - 59 years,2020-05-07,31.3,High,2020
Symptoms of Anxiety Disorder,By Age,60 - 69 years,2020-05-07,22.0,Mild,2020
Symptoms of Anxiety Disorder,By Age,70 - 79 years,2020-05-07,16.4,Mild,2020
Symptoms of Anxiety Disorder,By Age,80 years and above,2020-05-07,11.0,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2020-05-07,47.4,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2020-05-07,39.3,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2020-05-07,36.9,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2020-05-07,35.5,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2020-05-07,25.5,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2020-05-07,19.8,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2020-05-07,13.9,Mild,2020
Symptoms of Depressive Disorder,By Age,18 - 29 years,2020-05-14,36.7,Extreme,2020
Symptoms of Depressive Disorder,By Age,30 - 39 years,2020-05-14,26.7,Moderate,2020
Symptoms of Depressive Disorder,By Age,40 - 49 years,2020-05-14,25.0,Moderate,2020
Symptoms of Depressive Disorder,By Age,50 - 59 years,2020-05-14,24.6,Mild,2020
Symptoms of Depressive Disorder,By Age,60 - 69 years,2020-05-14,18.0,Mild,2020
Symptoms of Depressive Disorder,By Age,70 - 79 years,2020-05-14,12.3,Mild,2020
Symptoms of Depressive Disorder,By Age,80 years and above,2020-05-14,14.4,Mild,2020
Symptoms of Anxiety Disorder,By Age,18 - 29 years,2020-05-14,38.6,Extreme,2020
Symptoms of Anxiety Disorder,By Age,30 - 39 years,2020-05-14,32.2,High,2020
Symptoms of Anxiety Disorder,By Age,40 - 49 years,2020-05-14,30.7,High,2020
Symptoms of Anxiety Disorder,By Age,50 - 59 years,2020-05-14,28.4,Moderate,2020
Symptoms of Anxiety Disorder,By Age,60 - 69 years,2020-05-14,22.3,Mild,2020
Symptoms of Anxiety Disorder,By Age,70 - 79 years,2020-05-14,13.4,Mild,2020
Symptoms of Anxiety Disorder,By Age,80 years and above,2020-05-14,11.8,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,18 - 29 years,2020-05-14,47.7,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,30 - 39 years,2020-05-14,37.8,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,40 - 49 years,2020-05-14,35.3,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,50 - 59 years,2020-05-14,33.7,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,60 - 69 years,2020-05-14,26.4,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,70 - 79 years,2020-05-14,18.3,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,80 years and above,2020-05-14,17.1,Mild,2020
