Mental_indicator,Group_name,Subgroup,Time_Period,Percentage,Risk,year
Symptoms of Depressive Disorder,By Disability status,1,2021-04-14,52.9,Extreme,2021
Symptoms of Depressive Disorder,By Disability status,0,2021-04-14,18.5,Mild,2021
Symptoms of Anxiety Disorder,By Disability status,1,2021-04-14,56.3,Extreme,2021
Symptoms of Anxiety Disorder,By Disability status,0,2021-04-14,23.0,Mild,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,1,2021-04-14,64.3,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,0,2021-04-14,27.4,Moderate,2021
Symptoms of Depressive Disorder,By Disability status,1,2021-04-28,50.4,Extreme,2021
Symptoms of Depressive Disorder,By Disability status,0,2021-04-28,17.6,Mild,2021
Symptoms of Anxiety Disorder,By Disability status,1,2021-04-28,53.8,Extreme,2021
Symptoms of Anxiety Disorder,By Disability status,0,2021-04-28,22.3,Mild,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,1,2021-04-28,61.2,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,0,2021-04-28,26.1,Moderate,2021
Symptoms of Depressive Disorder,By Disability status,1,2021-05-12,53.2,Extreme,2021
Symptoms of Depressive Disorder,By Disability status,0,2021-05-12,16.8,Mild,2021
Symptoms of Anxiety Disorder,By Disability status,1,2021-05-12,55.6,Extreme,2021
Symptoms of Anxiety Disorder,By Disability status,0,2021-05-12,21.2,Mild,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,1,2021-05-12,63.5,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,0,2021-05-12,25.1,Moderate,2021
Symptoms of Depressive Disorder,By Disability status,1,2021-05-26,48.7,Extreme,2021
Symptoms of Depressive Disorder,By Disability status,0,2021-05-26,16.7,Mild,2021
Symptoms of Anxiety Disorder,By Disability status,1,2021-05-26,54.6,Extreme,2021
Symptoms of Anxiety Disorder,By Disability status,0,2021-05-26,20.9,Mild,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,1,2021-05-26,60.6,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,0,2021-05-26,24.9,Moderate,2021
Symptoms of Depressive Disorder,By Disability status,1,2021-06-09,49.9,Extreme,2021
Symptoms of Depressive Disorder,By Disability status,0,2021-06-09,17.3,Mild,2021
Symptoms of Anxiety Disorder,By Disability status,1,2021-06-09,54.1,Extreme,2021
Symptoms of Anxiety Disorder,By Disability status,0,2021-06-09,21.9,Mild,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,1,2021-06-09,61.5,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,0,2021-06-09,25.8,Moderate,2021
Symptoms of Depressive Disorder,By Disability status,1,2021-06-23,46.2,Extreme,2021
Symptoms of Depressive Disorder,By Disability status,0,2021-06-23,17.0,Mild,2021
Symptoms of Anxiety Disorder,By Disability status,1,2021-06-23,49.9,Extreme,2021
Symptoms of Anxiety Disorder,By Disability status,0,2021-06-23,20.6,Mild,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,1,2021-06-23,56.5,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,0,2021-06-23,24.7,Mild,2021
Symptoms of Depressive Disorder,By Disability status,1,2021-07-21,50.5,Extreme,2021
Symptoms of Depressive Disorder,By Disability status,0,2021-07-21,17.5,Mild,2021
Symptoms of Anxiety Disorder,By Disability status,1,2021-07-21,53.9,Extreme,2021
Symptoms of Anxiety Disorder,By Disability status,0,2021-07-21,22.4,Mild,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,1,2021-07-21,61.4,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,0,2021-07-21,26.2,Moderate,2021
Symptoms of Depressive Disorder,By Disability status,1,2021-08-04,50.4,Extreme,2021
Symptoms of Depressive Disorder,By Disability status,0,2021-08-04,17.1,Mild,2021
Symptoms of Anxiety Disorder,By Disability status,1,2021-08-04,54.2,Extreme,2021
Symptoms of Anxiety Disorder,By Disability status,0,2021-08-04,22.4,Mild,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,1,2021-08-04,61.8,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,0,2021-08-04,26.2,Moderate,2021
Symptoms of Depressive Disorder,By Disability status,1,2021-08-18,51.8,Extreme,2021
Symptoms of Depressive Disorder,By Disability status,0,2021-08-18,18.0,Mild,2021
Symptoms of Anxiety Disorder,By Disability status,1,2021-08-18,56.0,Extreme,2021
Symptoms of Anxiety Disorder,By Disability status,0,2021-08-18,23.4,Mild,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,1,2021-08-18,62.9,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,0,2021-08-18,27.3,Moderate,2021
Symptoms of Depressive Disorder,By Disability status,1,2021-09-01,51.6,Extreme,2021
Symptoms of Depressive Disorder,By Disability status,0,2021-09-01,17.7,Mild,2021
Symptoms of Anxiety Disorder,By Disability status,1,2021-09-01,56.7,Extreme,2021
Symptoms of Anxiety Disorder,By Disability status,0,2021-09-01,23.4,Mild,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,1,2021-09-01,62.6,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,0,2021-09-01,27.2,Moderate,2021
Symptoms of Depressive Disorder,By Disability status,1,2021-09-15,49.7,Extreme,2021
Symptoms of Depressive Disorder,By Disability status,0,2021-09-15,17.7,Mild,2021
Symptoms of Anxiety Disorder,By Disability status,1,2021-09-15,56.0,Extreme,2021
Symptoms of Anxiety Disorder,By Disability status,0,2021-09-15,23.0,Mild,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,1,2021-09-15,62.2,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,0,2021-09-15,27.0,Moderate,2021
Symptoms of Depressive Disorder,By Disability status,1,2021-09-29,49.9,Extreme,2021
Symptoms of Depressive Disorder,By Disability status,0,2021-09-29,17.0,Mild,2021
