Mental_indicator,Group_name,Subgroup,Time_Period,Percentage,Risk,year
Symptoms of Depressive Disorder,By Education,Less than a high school diploma,2020-04-23,32.7,High,2020
Symptoms of Depressive Disorder,By Education,High school diploma or GED,2020-04-23,25.4,Moderate,2020
Symptoms of Depressive Disorder,By Education,Some college/Associate's degree,2020-04-23,25.6,Moderate,2020
Symptoms of Depressive Disorder,By Education,Bachelor's degree or higher,2020-04-23,17.6,Mild,2020
Symptoms of Anxiety Disorder,By Education,Less than a high school diploma,2020-04-23,37.3,Extreme,2020
Symptoms of Anxiety Disorder,By Education,High school diploma or GED,2020-04-23,30.6,High,2020
Symptoms of Anxiety Disorder,By Education,Some college/Associate's degree,2020-04-23,33.5,High,2020
Symptoms of Anxiety Disorder,By Education,Bachelor's degree or higher,2020-04-23,27.0,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Less than a high school diploma,2020-04-23,45.4,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,High school diploma or GED,2020-04-23,36.7,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Some college/Associate's degree,2020-04-23,38.5,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Bachelor's degree or higher,2020-04-23,30.7,High,2020
Symptoms of Depressive Disorder,By Education,Less than a high school diploma,2020-05-07,31.4,High,2020
Symptoms of Depressive Disorder,By Education,High school diploma or GED,2020-05-07,27.1,Moderate,2020
Symptoms of Depressive Disorder,By Education,Some college/Associate's degree,2020-05-07,26.5,Moderate,2020
Symptoms of Depressive Disorder,By Education,Bachelor's degree or higher,2020-05-07,17.2,Mild,2020
Symptoms of Anxiety Disorder,By Education,Less than a high school diploma,2020-05-07,36.6,Extreme,2020
Symptoms of Anxiety Disorder,By Education,High school diploma or GED,2020-05-07,32.8,High,2020
Symptoms of Anxiety Disorder,By Education,Some college/Associate's degree,2020-05-07,31.5,High,2020
Symptoms of Anxiety Disorder,By Education,Bachelor's degree or higher,2020-05-07,24.2,Mild,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Less than a high school diploma,2020-05-07,42.5,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,High school diploma or GED,2020-05-07,37.8,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Some college/Associate's degree,2020-05-07,36.2,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,Bachelor's degree or higher,2020-05-07,27.5,Moderate,2020
Symptoms of Depressive Disorder,By Education,Less than a high school diploma,2020-05-14,31.3,High,2020
Symptoms of Depressive Disorder,By Education,High school diploma or GED,2020-05-14,27.8,Moderate,2020
Symptoms of Depressive Disorder,By Education,Some college/Associate's degree,2020-05-14,26.8,Moderate,2020
Symptoms of Depressive Disorder,By Education,Bachelor's degree or higher,2020-05-14,17.3,Mild,2020
Symptoms of Anxiety Disorder,By Education,Less than a high school diploma,2020-05-14,34.3,High,2020
Symptoms of Anxiety Disorder,By Education,High school diploma or GED,2020-05-14,30.5,High,2020
Symptoms of Anxiety Disorder,By Education,Some college/Associate's degree,2020-05-14,30.2,High,2020
