,Indicator,Group,Subgroup,Time_Period,Value,Risk,year
10,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-04-23,29.4,Moderate,2020
11,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-04-23,21.4,Mild,2020
12,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-04-23,25.6,Moderate,2020
13,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-04-23,23.6,Mild,2020
14,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-04-23,28.3,Moderate,2020
80,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-04-23,36.3,Extreme,2020
81,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-04-23,29.0,Moderate,2020
82,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-04-23,32.8,High,2020
83,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-04-23,26.3,Moderate,2020
84,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-04-23,38.2,Extreme,2020
150,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-04-23,42.7,Extreme,2020
151,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-04-23,33.6,High,2020
152,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-04-23,38.9,Extreme,2020
153,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-04-23,31.9,High,2020
154,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-04-23,43.9,Extreme,2020
220,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-05-07,27.9,Moderate,2020
221,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-05-07,22.5,Mild,2020
222,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-05-07,27.7,Moderate,2020
223,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-05-07,19.5,Mild,2020
224,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-05-07,33.0,High,2020
290,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-05-07,36.2,Extreme,2020
291,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-05-07,27.8,Moderate,2020
292,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-05-07,33.0,High,2020
293,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-05-07,26.3,Moderate,2020
294,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-05-07,38.9,Extreme,2020
360,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-05-07,40.3,Extreme,2020
361,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-05-07,32.0,High,2020
362,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-05-07,38.8,Extreme,2020
363,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-05-07,29.9,High,2020
364,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-05-07,45.9,Extreme,2020
430,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-05-14,28.9,Moderate,2020
431,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-05-14,22.7,Mild,2020
432,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-05-14,28.5,Moderate,2020
433,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-05-14,20.9,Mild,2020
434,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-05-14,27.1,Moderate,2020
500,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-05-14,33.6,High,2020
501,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-05-14,26.3,Moderate,2020
502,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-05-14,32.7,High,2020
503,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-05-14,23.4,Mild,2020
504,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-05-14,31.3,High,2020
570,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-05-14,40.7,Extreme,2020
571,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-05-14,31.3,High,2020
572,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-05-14,39.4,Extreme,2020
573,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-05-14,30.2,High,2020
574,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-05-14,37.2,Extreme,2020
640,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-05-21,31.4,High,2020
641,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-05-21,23.3,Mild,2020
642,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-05-21,24.8,Moderate,2020
643,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-05-21,19.5,Mild,2020
644,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-05-21,32.2,High,2020
710,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-05-21,36.3,Extreme,2020
711,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2020-05-21,27.6,Moderate,2020
712,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2020-05-21,30.2,High,2020
713,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2020-05-21,22.2,Mild,2020
714,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-05-21,38.6,Extreme,2020
780,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-05-21,41.5,Extreme,2020
781,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2020-05-21,32.3,High,2020
782,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-05-21,35.6,Extreme,2020
783,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-05-21,27.6,Moderate,2020
784,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-05-21,43.4,Extreme,2020
850,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2020-05-28,26.3,Moderate,2020
851,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2020-05-28,23.7,Mild,2020
852,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2020-05-28,29.9,High,2020
853,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2020-05-28,22.0,Mild,2020
854,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2020-05-28,37.6,Extreme,2020
