Mental_indicator,Group_name,Subgroup,Time_Period,Percentage,Risk,year
Symptoms of Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-07-21,31.2,High,2021
Symptoms of Depressive Disorder,By Sexual orientation,Straight,2021-07-21,19.7,Mild,2021
Symptoms of Depressive Disorder,By Sexual orientation,Bisexual,2021-07-21,49.8,Extreme,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Gay or lesbian,2021-07-21,38.4,Extreme,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Straight,2021-07-21,24.3,Mild,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Bisexual,2021-07-21,57.8,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-07-21,42.6,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Straight,2021-07-21,28.4,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Bisexual,2021-07-21,65.4,Extreme,2021
Symptoms of Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-08-04,30.4,High,2021
Symptoms of Depressive Disorder,By Sexual orientation,Straight,2021-08-04,19.1,Mild,2021
Symptoms of Depressive Disorder,By Sexual orientation,Bisexual,2021-08-04,47.4,Extreme,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Gay or lesbian,2021-08-04,37.9,Extreme,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Straight,2021-08-04,24.2,Mild,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Bisexual,2021-08-04,55.2,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-08-04,43.0,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Straight,2021-08-04,28.3,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Bisexual,2021-08-04,61.5,Extreme,2021
Symptoms of Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-08-18,38.2,Extreme,2021
Symptoms of Depressive Disorder,By Sexual orientation,Straight,2021-08-18,20.1,Mild,2021
Symptoms of Depressive Disorder,By Sexual orientation,Bisexual,2021-08-18,47.1,Extreme,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Gay or lesbian,2021-08-18,43.0,Extreme,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Straight,2021-08-18,25.3,Moderate,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Bisexual,2021-08-18,51.3,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-08-18,49.6,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Straight,2021-08-18,29.3,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Bisexual,2021-08-18,59.7,Extreme,2021
Symptoms of Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-09-01,40.1,Extreme,2021
Symptoms of Depressive Disorder,By Sexual orientation,Straight,2021-09-01,19.9,Mild,2021
Symptoms of Depressive Disorder,By Sexual orientation,Bisexual,2021-09-01,49.0,Extreme,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Gay or lesbian,2021-09-01,46.2,Extreme,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Straight,2021-09-01,25.4,Moderate,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Bisexual,2021-09-01,58.3,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-09-01,51.2,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Straight,2021-09-01,29.4,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Bisexual,2021-09-01,62.4,Extreme,2021
Symptoms of Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-09-15,38.9,Extreme,2021
Symptoms of Depressive Disorder,By Sexual orientation,Straight,2021-09-15,19.6,Mild,2021
Symptoms of Depressive Disorder,By Sexual orientation,Bisexual,2021-09-15,48.8,Extreme,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Gay or lesbian,2021-09-15,45.0,Extreme,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Straight,2021-09-15,25.0,Moderate,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Bisexual,2021-09-15,59.0,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-09-15,51.8,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Straight,2021-09-15,29.0,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Bisexual,2021-09-15,65.4,Extreme,2021
Symptoms of Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-09-29,34.9,High,2021
Symptoms of Depressive Disorder,By Sexual orientation,Straight,2021-09-29,19.4,Mild,2021
Symptoms of Depressive Disorder,By Sexual orientation,Bisexual,2021-09-29,44.6,Extreme,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Gay or lesbian,2021-09-29,39.0,Extreme,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Straight,2021-09-29,24.8,Moderate,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Bisexual,2021-09-29,53.5,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-09-29,44.2,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Straight,2021-09-29,28.9,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Bisexual,2021-09-29,58.5,Extreme,2021
Symptoms of Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-12-01,35.0,High,2021
Symptoms of Depressive Disorder,By Sexual orientation,Straight,2021-12-01,19.2,Mild,2021
Symptoms of Depressive Disorder,By Sexual orientation,Bisexual,2021-12-01,45.6,Extreme,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Gay or lesbian,2021-12-01,36.7,Extreme,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Straight,2021-12-01,24.3,Mild,2021
Symptoms of Anxiety Disorder,By Sexual orientation,Bisexual,2021-12-01,52.5,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Gay or lesbian,2021-12-01,45.3,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Straight,2021-12-01,28.1,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,Bisexual,2021-12-01,59.2,Extreme,2021
