Mental_indicator,Group_name,Subgroup,Time_Period,Percentage,Risk,year
Symptoms of Depressive Disorder,By State,Alabama,2020-04-23,18.6,Mild,2020
Symptoms of Depressive Disorder,By State,Alaska,2020-04-23,19.2,Mild,2020
Symptoms of Depressive Disorder,By State,Arizona,2020-04-23,22.4,Mild,2020
Symptoms of Depressive Disorder,By State,Arkansas,2020-04-23,26.6,Moderate,2020
Symptoms of Depressive Disorder,By State,California,2020-04-23,25.4,Moderate,2020
Symptoms of Depressive Disorder,By State,Colorado,2020-04-23,22.0,Mild,2020
Symptoms of Depressive Disorder,By State,Connecticut,2020-04-23,24.4,Mild,2020
Symptoms of Depressive Disorder,By State,Delaware,2020-04-23,21.1,Mild,2020
Symptoms of Depressive Disorder,By State,District of Columbia,2020-04-23,26.4,Moderate,2020
Symptoms of Depressive Disorder,By State,Florida,2020-04-23,22.5,Mild,2020
Symptoms of Depressive Disorder,By State,Georgia,2020-04-23,25.6,Moderate,2020
Symptoms of Depressive Disorder,By State,Hawaii,2020-04-23,20.0,Mild,2020
Symptoms of Depressive Disorder,By State,Idaho,2020-04-23,20.6,Mild,2020
Symptoms of Depressive Disorder,By State,Illinois,2020-04-23,23.3,Mild,2020
Symptoms of Depressive Disorder,By State,Indiana,2020-04-23,26.4,Moderate,2020
Symptoms of Depressive Disorder,By State,Iowa,2020-04-23,16.5,Mild,2020
Symptoms of Depressive Disorder,By State,Kansas,2020-04-23,22.1,Mild,2020
Symptoms of Depressive Disorder,By State,Kentucky,2020-04-23,23.2,Mild,2020
Symptoms of Depressive Disorder,By State,Louisiana,2020-04-23,28.1,Moderate,2020
Symptoms of Depressive Disorder,By State,Maine,2020-04-23,19.5,Mild,2020
Symptoms of Depressive Disorder,By State,Maryland,2020-04-23,20.9,Mild,2020
Symptoms of Depressive Disorder,By State,Massachusetts,2020-04-23,25.9,Moderate,2020
Symptoms of Depressive Disorder,By State,Michigan,2020-04-23,25.5,Moderate,2020
Symptoms of Depressive Disorder,By State,Minnesota,2020-04-23,20.4,Mild,2020
Symptoms of Depressive Disorder,By State,Mississippi,2020-04-23,22.9,Mild,2020
Symptoms of Depressive Disorder,By State,Missouri,2020-04-23,21.0,Mild,2020
Symptoms of Depressive Disorder,By State,Montana,2020-04-23,18.2,Mild,2020
Symptoms of Depressive Disorder,By State,Nebraska,2020-04-23,19.1,Mild,2020
Symptoms of Depressive Disorder,By State,Nevada,2020-04-23,23.6,Mild,2020
Symptoms of Depressive Disorder,By State,New Hampshire,2020-04-23,19.5,Mild,2020
Symptoms of Depressive Disorder,By State,New Jersey,2020-04-23,23.6,Mild,2020
Symptoms of Depressive Disorder,By State,New Mexico,2020-04-23,22.4,Mild,2020
Symptoms of Depressive Disorder,By State,New York,2020-04-23,28.7,Moderate,2020
Symptoms of Depressive Disorder,By State,North Carolina,2020-04-23,21.1,Mild,2020
Symptoms of Depressive Disorder,By State,North Dakota,2020-04-23,17.0,Mild,2020
Symptoms of Depressive Disorder,By State,Ohio,2020-04-23,21.2,Mild,2020
Symptoms of Depressive Disorder,By State,Oklahoma,2020-04-23,20.8,Mild,2020
Symptoms of Depressive Disorder,By State,Oregon,2020-04-23,22.5,Mild,2020
Symptoms of Depressive Disorder,By State,Pennsylvania,2020-04-23,24.7,Mild,2020
Symptoms of Depressive Disorder,By State,Rhode Island,2020-04-23,24.5,Mild,2020
Symptoms of Depressive Disorder,By State,South Carolina,2020-04-23,21.6,Mild,2020
Symptoms of Depressive Disorder,By State,South Dakota,2020-04-23,17.5,Mild,2020
Symptoms of Depressive Disorder,By State,Tennessee,2020-04-23,22.2,Mild,2020
Symptoms of Depressive Disorder,By State,Texas,2020-04-23,24.4,Mild,2020
Symptoms of Depressive Disorder,By State,Utah,2020-04-23,22.9,Mild,2020
Symptoms of Depressive Disorder,By State,Vermont,2020-04-23,20.7,Mild,2020
Symptoms of Depressive Disorder,By State,Virginia,2020-04-23,21.5,Mild,2020
Symptoms of Depressive Disorder,By State,Washington,2020-04-23,22.1,Mild,2020
Symptoms of Depressive Disorder,By State,West Virginia,2020-04-23,23.4,Mild,2020
Symptoms of Depressive Disorder,By State,Wisconsin,2020-04-23,22.0,Mild,2020
Symptoms of Depressive Disorder,By State,Wyoming,2020-04-23,18.9,Mild,2020
Symptoms of Anxiety Disorder,By State,Alabama,2020-04-23,25.6,Moderate,2020
Symptoms of Anxiety Disorder,By State,Alaska,2020-04-23,27.7,Moderate,2020
Symptoms of Anxiety Disorder,By State,Arizona,2020-04-23,32.3,High,2020
Symptoms of Anxiety Disorder,By State,Arkansas,2020-04-23,33.7,High,2020
Symptoms of Anxiety Disorder,By State,California,2020-04-23,30.8,High,2020
Symptoms of Anxiety Disorder,By State,Colorado,2020-04-23,32.6,High,2020
Symptoms of Anxiety Disorder,By State,Connecticut,2020-04-23,34.9,High,2020
Symptoms of Anxiety Disorder,By State,Delaware,2020-04-23,29.9,High,2020
Symptoms of Anxiety Disorder,By State,District of Columbia,2020-04-23,31.4,High,2020
Symptoms of Anxiety Disorder,By State,Florida,2020-04-23,32.6,High,2020
Symptoms of Anxiety Disorder,By State,Georgia,2020-04-23,31.9,High,2020
Symptoms of Anxiety Disorder,By State,Hawaii,2020-04-23,32.3,High,2020
Symptoms of Anxiety Disorder,By State,Idaho,2020-04-23,26.9,Moderate,2020
Symptoms of Anxiety Disorder,By State,Illinois,2020-04-23,31.1,High,2020
Symptoms of Anxiety Disorder,By State,Indiana,2020-04-23,31.8,High,2020
Symptoms of Anxiety Disorder,By State,Iowa,2020-04-23,22.5,Mild,2020
Symptoms of Anxiety Disorder,By State,Kansas,2020-04-23,26.4,Moderate,2020
Symptoms of Anxiety Disorder,By State,Kentucky,2020-04-23,31.6,High,2020
Symptoms of Anxiety Disorder,By State,Louisiana,2020-04-23,34.4,High,2020
Symptoms of Anxiety Disorder,By State,Maine,2020-04-23,29.5,Moderate,2020
Symptoms of Anxiety Disorder,By State,Maryland,2020-04-23,27.7,Moderate,2020
Symptoms of Anxiety Disorder,By State,Massachusetts,2020-04-23,37.0,Extreme,2020
Symptoms of Anxiety Disorder,By State,Michigan,2020-04-23,32.5,High,2020
Symptoms of Anxiety Disorder,By State,Minnesota,2020-04-23,28.5,Moderate,2020
Symptoms of Anxiety Disorder,By State,Mississippi,2020-04-23,30.3,High,2020
Symptoms of Anxiety Disorder,By State,Missouri,2020-04-23,30.4,High,2020
Symptoms of Anxiety Disorder,By State,Montana,2020-04-23,22.8,Mild,2020
Symptoms of Anxiety Disorder,By State,Nebraska,2020-04-23,24.2,Mild,2020
Symptoms of Anxiety Disorder,By State,Nevada,2020-04-23,31.4,High,2020
Symptoms of Anxiety Disorder,By State,New Hampshire,2020-04-23,31.3,High,2020
Symptoms of Anxiety Disorder,By State,New Jersey,2020-04-23,31.4,High,2020
Symptoms of Anxiety Disorder,By State,New Mexico,2020-04-23,27.9,Moderate,2020
Symptoms of Anxiety Disorder,By State,New York,2020-04-23,36.1,Extreme,2020
Symptoms of Anxiety Disorder,By State,North Carolina,2020-04-23,30.0,High,2020
Symptoms of Anxiety Disorder,By State,North Dakota,2020-04-23,21.7,Mild,2020
Symptoms of Anxiety Disorder,By State,Ohio,2020-04-23,31.1,High,2020
Symptoms of Anxiety Disorder,By State,Oklahoma,2020-04-23,28.6,Moderate,2020
Symptoms of Anxiety Disorder,By State,Oregon,2020-04-23,31.5,High,2020
Symptoms of Anxiety Disorder,By State,Pennsylvania,2020-04-23,31.0,High,2020
Symptoms of Anxiety Disorder,By State,Rhode Island,2020-04-23,27.6,Moderate,2020
Symptoms of Anxiety Disorder,By State,South Carolina,2020-04-23,27.8,Moderate,2020
Symptoms of Anxiety Disorder,By State,South Dakota,2020-04-23,22.1,Mild,2020
Symptoms of Anxiety Disorder,By State,Tennessee,2020-04-23,28.2,Moderate,2020
Symptoms of Anxiety Disorder,By State,Texas,2020-04-23,29.7,Moderate,2020
Symptoms of Anxiety Disorder,By State,Utah,2020-04-23,28.9,Moderate,2020
Symptoms of Anxiety Disorder,By State,Vermont,2020-04-23,30.6,High,2020
Symptoms of Anxiety Disorder,By State,Virginia,2020-04-23,28.5,Moderate,2020
Symptoms of Anxiety Disorder,By State,Washington,2020-04-23,30.6,High,2020
Symptoms of Anxiety Disorder,By State,West Virginia,2020-04-23,28.8,Moderate,2020
Symptoms of Anxiety Disorder,By State,Wisconsin,2020-04-23,27.1,Moderate,2020
Symptoms of Anxiety Disorder,By State,Wyoming,2020-04-23,24.9,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,2020-04-23,30.3,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,2020-04-23,31.5,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,2020-04-23,36.4,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,2020-04-23,38.0,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,2020-04-23,37.4,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,2020-04-23,35.9,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,2020-04-23,40.2,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,2020-04-23,34.7,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,2020-04-23,37.6,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,2020-04-23,36.8,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,2020-04-23,36.2,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,2020-04-23,37.0,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,2020-04-23,33.3,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,2020-04-23,36.6,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,2020-04-23,37.8,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,2020-04-23,28.2,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,2020-04-23,32.5,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,2020-04-23,36.4,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,2020-04-23,38.9,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,2020-04-23,34.3,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,2020-04-23,32.9,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,2020-04-23,40.6,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,2020-04-23,39.4,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,2020-04-23,32.4,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,2020-04-23,34.5,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,2020-04-23,35.2,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,2020-04-23,27.3,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,2020-04-23,28.6,Moderate,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,2020-04-23,34.8,High,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,2020-04-23,34.8,High,2020
