Group,Subgroup,Time_Period,Value,Risk
By Age,18 - 29 years,2021-01-06,53.5,Extreme
By Age,30 - 39 years,2021-01-06,45.8,Extreme
By Age,40 - 49 years,2021-01-06,43.9,Extreme
By Age,50 - 59 years,2021-01-06,40.6,Extreme
By Age,60 - 69 years,2021-01-06,34.1,Moderate
By Age,70 - 79 years,2021-01-06,27.9,Mild
By Age,80 years and above,2021-01-06,27.3,Mild
By Sex,Male,2021-01-06,36.4,High
By Sex,Female,2021-01-06,45.4,Extreme
By Race/Hispanic ethnicity,Hispanic or Latino,2021-01-06,42.1,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-01-06,40.6,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-01-06,42.2,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-01-06,34.0,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-01-06,50.7,Extreme
By Education,Less than a high school diploma,2021-01-06,48.2,Extreme
By Education,High school diploma or GED,2021-01-06,41.1,Extreme
By Education,Some college/Associate's degree,2021-01-06,44.8,Extreme
By Education,Bachelor's degree or higher,2021-01-06,35.9,High
By State,Alabama,2021-01-06,42.0,Extreme
By State,Alaska,2021-01-06,41.5,Extreme
By State,Arizona,2021-01-06,38.4,High
By State,Arkansas,2021-01-06,41.1,Extreme
By State,California,2021-01-06,45.4,Extreme
By State,Colorado,2021-01-06,41.7,Extreme
By State,Connecticut,2021-01-06,39.5,High
By State,Delaware,2021-01-06,40.8,Extreme
By State,District of Columbia,2021-01-06,39.4,High
By State,Florida,2021-01-06,38.0,High
By State,Georgia,2021-01-06,43.3,Extreme
By State,Hawaii,2021-01-06,38.1,High
By State,Idaho,2021-01-06,38.8,High
By State,Illinois,2021-01-06,40.9,Extreme
By State,Indiana,2021-01-06,38.7,High
By State,Iowa,2021-01-06,36.3,High
By State,Kansas,2021-01-06,38.7,High
By State,Kentucky,2021-01-06,40.4,Extreme
By State,Louisiana,2021-01-06,43.5,Extreme
By State,Maine,2021-01-06,40.6,Extreme
By State,Maryland,2021-01-06,38.8,High
By State,Massachusetts,2021-01-06,38.4,High
By State,Michigan,2021-01-06,42.9,Extreme
By State,Minnesota,2021-01-06,33.6,Moderate
By State,Mississippi,2021-01-06,52.3,Extreme
By State,Missouri,2021-01-06,43.7,Extreme
By State,Montana,2021-01-06,35.7,High
By State,Nebraska,2021-01-06,38.5,High
By State,Nevada,2021-01-06,41.7,Extreme
By State,New Hampshire,2021-01-06,36.5,High
By State,New Jersey,2021-01-06,39.4,High
By State,New Mexico,2021-01-06,38.9,High
By State,New York,2021-01-06,40.2,Extreme
By State,North Carolina,2021-01-06,44.3,Extreme
By State,North Dakota,2021-01-06,35.6,High
By State,Ohio,2021-01-06,41.4,Extreme
By State,Oklahoma,2021-01-06,42.8,Extreme
By State,Oregon,2021-01-06,44.3,Extreme
By State,Pennsylvania,2021-01-06,41.3,Extreme
By State,Rhode Island,2021-01-06,46.8,Extreme
By State,South Carolina,2021-01-06,42.0,Extreme
By State,South Dakota,2021-01-06,34.0,Moderate
By State,Tennessee,2021-01-06,39.6,High
By State,Texas,2021-01-06,39.0,High
By State,Utah,2021-01-06,42.8,Extreme
By State,Vermont,2021-01-06,35.2,High
By State,Virginia,2021-01-06,41.4,Extreme
By State,Washington,2021-01-06,44.1,Extreme
By State,West Virginia,2021-01-06,49.7,Extreme
By State,Wisconsin,2021-01-06,34.8,Moderate
By State,Wyoming,2021-01-06,37.9,High
By Age,18 - 29 years,2021-01-20,56.9,Extreme
By Age,30 - 39 years,2021-01-20,47.2,Extreme
By Age,40 - 49 years,2021-01-20,41.7,Extreme
By Age,50 - 59 years,2021-01-20,41.3,Extreme
By Age,60 - 69 years,2021-01-20,34.2,Moderate
By Age,70 - 79 years,2021-01-20,26.8,Mild
By Age,80 years and above,2021-01-20,22.6,Mild
By Sex,Male,2021-01-20,38.0,High
By Sex,Female,2021-01-20,44.8,Extreme
By Race/Hispanic ethnicity,Hispanic or Latino,2021-01-20,47.1,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-01-20,39.8,High
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-01-20,44.5,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-01-20,37.4,High
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-01-20,44.8,Extreme
By Education,Less than a high school diploma,2021-01-20,49.6,Extreme
By Education,High school diploma or GED,2021-01-20,41.1,Extreme
By Education,Some college/Associate's degree,2021-01-20,46.4,Extreme
By Education,Bachelor's degree or higher,2021-01-20,35.5,High
By State,Alabama,2021-01-20,43.4,Extreme
By State,Alaska,2021-01-20,43.1,Extreme
By State,Arizona,2021-01-20,40.8,Extreme
By State,Arkansas,2021-01-20,40.0,High
By State,California,2021-01-20,46.1,Extreme
By State,Colorado,2021-01-20,41.4,Extreme
By State,Connecticut,2021-01-20,40.6,Extreme
By State,Delaware,2021-01-20,32.8,Moderate
By State,District of Columbia,2021-01-20,43.7,Extreme
By State,Florida,2021-01-20,40.8,Extreme
By State,Georgia,2021-01-20,44.3,Extreme
By State,Hawaii,2021-01-20,37.6,High
By State,Idaho,2021-01-20,40.0,High
By State,Illinois,2021-01-20,38.5,High
By State,Indiana,2021-01-20,42.2,Extreme
By State,Iowa,2021-01-20,38.5,High
By State,Kansas,2021-01-20,36.5,High
By State,Kentucky,2021-01-20,43.6,Extreme
By State,Louisiana,2021-01-20,47.5,Extreme
By State,Maine,2021-01-20,37.5,High
By State,Maryland,2021-01-20,39.1,High
By State,Massachusetts,2021-01-20,42.2,Extreme
By State,Michigan,2021-01-20,39.9,High
By State,Minnesota,2021-01-20,37.2,High
By State,Mississippi,2021-01-20,42.7,Extreme
By State,Missouri,2021-01-20,39.0,High
By State,Montana,2021-01-20,35.1,High
By State,Nebraska,2021-01-20,33.8,Moderate
By State,Nevada,2021-01-20,41.4,Extreme
By State,New Hampshire,2021-01-20,37.7,High
By State,New Jersey,2021-01-20,42.2,Extreme
By State,New Mexico,2021-01-20,43.3,Extreme
By State,New York,2021-01-20,35.8,High
By State,North Carolina,2021-01-20,44.7,Extreme
By State,North Dakota,2021-01-20,28.8,Mild
By State,Ohio,2021-01-20,43.2,Extreme
By State,Oklahoma,2021-01-20,47.5,Extreme
