,Indicator,Group,State,Subgroup,Time Period Start Date,Value,year
0,Symptoms of Depressive Disorder,National Estimate,United States,United States,2020-04-23,mild,2020
1,Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,2020-04-23,mild,2020
2,Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,2020-04-23,mild,2020
3,Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,2020-04-23,mild,2020
4,Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,2020-04-23,mild,2020
5,Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,2020-04-23,mild,2020
6,Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,2020-04-23,mild,2020
7,Symptoms of Depressive Disorder,By Age,United States,80 years and above,2020-04-23,mild,2020
8,Symptoms of Depressive Disorder,By Sex,United States,Male,2020-04-23,mild,2020
9,Symptoms of Depressive Disorder,By Sex,United States,Female,2020-04-23,mild,2020
10,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2020-04-23,mild,2020
11,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2020-04-23,mild,2020
12,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2020-04-23,mild,2020
13,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2020-04-23,mild,2020
14,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2020-04-23,mild,2020
15,Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,2020-04-23,mild,2020
16,Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,2020-04-23,mild,2020
17,Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,2020-04-23,mild,2020
18,Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,2020-04-23,mild,2020
19,Symptoms of Depressive Disorder,By State,Alabama,Alabama,2020-04-23,mild,2020
20,Symptoms of Depressive Disorder,By State,Alaska,Alaska,2020-04-23,mild,2020
21,Symptoms of Depressive Disorder,By State,Arizona,Arizona,2020-04-23,mild,2020
22,Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,2020-04-23,mild,2020
23,Symptoms of Depressive Disorder,By State,California,California,2020-04-23,mild,2020
24,Symptoms of Depressive Disorder,By State,Colorado,Colorado,2020-04-23,mild,2020
